feature,importance,exercise
right_index_var_y,0.0033377936250022352,E1
mouth_right_var_y,0.002370108676648624,E1
left_eye_inner_var_y,0.0021247325248043365,E1
left_eye_outer_var_y,0.002083509147517788,E1
right_ear_mean_x,0.00183518499774981,E1
left_elbow_var_y,0.0006290767876258579,E1
mouth_left_var_y,0.00026540681371705135,E1
right_shoulder_var_y,4.863875657841769e-05,E1
exercise_E1,0.0,E1
exercise_E2,0.0,E1
exercise_E3,0.0,E1
exercise_E4,0.0,E1
exercise_E5,0.0,E1
right_knee_mean_x,0.21471668954226217,E2
right_shoulder_mean_y,0.19253137481322602,E2
right_hip_mean_y,0.16180273552803484,E2
left_elbow_mean_x,0.15894135952379837,E2
right_hip_mean_x,0.15288694882398968,E2
left_thumb_mean_x,0.1274406642590135,E2
left_hip_mean_x,0.12480097299147323,E2
right_knee_mean_y,0.12474962762697009,E2
left_wrist_mean_x,0.12384132104261371,E2
left_hip_mean_y,0.12133515163123267,E2
right_index_mean_x,0.11953204879308527,E2
right_thumb_mean_x,0.1089091385758461,E2
left_index_mean_x,0.1026448151288826,E2
left_pinky_mean_x,0.10177464890260074,E2
right_heel_mean_x,0.0989178791402287,E2
right_wrist_mean_x,0.09455631982571915,E2
left_foot_index_mean_y,0.08745302770954869,E2
right_pinky_mean_x,0.08629747400950881,E2
left_thumb_var_y,0.08356445814170321,E2
right_hip_var_x,0.08289366999721712,E2
left_wrist_var_y,0.08236605049059559,E2
left_knee_mean_y,0.0811880489301849,E2
left_index_var_y,0.08076301183335133,E2
right_foot_index_var_y,0.07938968730052129,E2
left_pinky_var_y,0.07828797087255088,E2
left_foot_index_var_y,0.07756137131305255,E2
right_shoulder_var_x,0.07702889479874626,E2
left_hip_var_x,0.07629042477606479,E2
right_elbow_mean_y,0.0709011115798067,E2
right_ankle_mean_x,0.06939964572917288,E2
left_ear_var_y,0.06919278858662115,E2
left_shoulder_var_y,0.06791652698036754,E2
left_ankle_mean_y,0.06371168134847227,E2
left_ear_mean_y,0.06154792611320205,E2
left_shoulder_mean_x,0.06143022562292365,E2
right_pinky_var_y,0.05939560057016749,E2
right_ear_mean_y,0.05877118250285231,E2
right_index_var_y,0.05867282669138416,E2
left_index_mean_y,0.057706980867904184,E2
left_pinky_mean_y,0.057515685477337916,E2
right_thumb_var_y,0.05502287169910654,E2
left_heel_mean_y,0.054339962026138215,E2
left_foot_index_var_x,0.05395622570929268,E2
right_wrist_var_y,0.05318813706342531,E2
left_knee_var_y,0.05285775278318873,E2
right_ear_var_x,0.05281750632407267,E2
left_thumb_mean_y,0.051129663262455494,E2
left_wrist_mean_y,0.050183327686240516,E2
right_index_var_x,0.04924485511262844,E2
left_elbow_var_x,0.04898709744998621,E2
left_ankle_var_x,0.04592180579051883,E2
right_eye_outer_var_x,0.04569860855533158,E2
left_heel_var_x,0.045671718103130844,E2
right_elbow_mean_x,0.04238159550781359,E2
left_hip_var_y,0.041249153938311564,E2
right_eye_inner_var_x,0.039400266086756286,E2
left_knee_mean_x,0.03928639772051369,E2
mouth_right_var_x,0.0387280370647043,E2
right_eye_var_x,0.03852985907659106,E2
left_shoulder_mean_y,0.036134626841765244,E2
left_shoulder_var_x,0.03580731761467707,E2
right_elbow_var_x,0.03537164621120556,E2
nose_var_x,0.03376370738268335,E2
right_ankle_var_y,0.03259393921707167,E2
right_pinky_var_x,0.031455902248727165,E2
right_thumb_var_x,0.030104243277653292,E2
left_elbow_mean_y,0.02938163266049701,E2
right_shoulder_mean_x,0.028648922198670403,E2
right_heel_var_y,0.02744561081909841,E2
right_eye_inner_mean_x,0.027214556024913926,E2
left_ear_mean_x,0.026835647250389505,E2
right_hip_var_y,0.026523321144453084,E2
left_pinky_var_x,0.025183364185233873,E2
right_eye_mean_x,0.025010821531911955,E2
right_eye_outer_mean_x,0.024308408907107157,E2
right_elbow_var_y,0.023609489251438017,E2
right_wrist_mean_y,0.021767658354768724,E2
left_ankle_var_y,0.02160005417270139,E2
right_ear_mean_x,0.020189524139139478,E2
left_eye_var_x,0.019819532856361573,E2
mouth_right_mean_x,0.019328611113225244,E2
right_thumb_mean_y,0.01898733215087342,E2
mouth_left_mean_y,0.01875625376679257,E2
left_heel_var_y,0.018674264121444045,E2
left_wrist_var_x,0.016029803047174884,E2
left_eye_inner_var_x,0.015246678747464666,E2
right_foot_index_var_x,0.015143818334671877,E2
nose_mean_x,0.015085896039716995,E2
left_eye_inner_mean_x,0.014781645829096364,E2
left_eye_outer_var_x,0.014773472289928258,E2
right_ear_var_y,0.014725695445151926,E2
right_shoulder_var_y,0.014708234039542384,E2
