feature,importance,exercise
left_knee_var_y,0.22814492209828086,E1
left_knee_mean_x,0.1997600412449499,E1
right_elbow_mean_x,0.16241024217847486,E1
right_knee_mean_x,0.1516615912153488,E1
right_heel_mean_x,0.13854620513584848,E1
left_index_mean_x,0.13722441158271756,E1
left_thumb_mean_x,0.13597546635426339,E1
left_pinky_mean_x,0.13128945852005716,E1
left_wrist_mean_x,0.12627005286381035,E1
right_hip_mean_y,0.11973864127854056,E1
right_heel_var_x,0.11019511480888983,E1
right_ankle_mean_x,0.10754314764468975,E1
left_heel_mean_x,0.10370453826965338,E1
left_side_mean_acceleration,0.09613611071936337,E1
right_knee_mean_y,0.09252936004380115,E1
right_shoulder_mean_y,0.08744216667566179,E1
left_hip_mean_y,0.08695960577361936,E1
right_hip_mean_x,0.08658684614724457,E1
right_ankle_var_x,0.0851383914916538,E1
left_foot_index_var_x,0.08449639150241456,E1
left_ankle_mean_x,0.08300827010080834,E1
right_side_mean_acceleration,0.07951654798208296,E1
left_side_std_velocity,0.07923355015376442,E1
right_thumb_mean_x,0.07845707269801588,E1
right_wrist_mean_x,0.07703661782613802,E1
left_side_std_acceleration,0.07493832835026168,E1
right_knee_var_x,0.07263343123242551,E1
left_ear_var_y,0.07173349912931529,E1
right_index_mean_x,0.06957757698373075,E1
left_index_var_x,0.06875650415890161,E1
left_hip_mean_x,0.06780426087058658,E1
left_side_mean_velocity,0.06687064259180672,E1
velocity_max_asymmetry_ratio,0.06606261031987515,E1
left_thumb_var_x,0.060069307551397125,E1
left_pinky_var_x,0.05984203235267973,E1
left_ankle_mean_y,0.0587775136096332,E1
mouth_left_var_x,0.05872867218788923,E1
left_side_max_velocity,0.05819029626519477,E1
left_heel_var_y,0.05780964836414505,E1
left_wrist_var_x,0.05631271597092627,E1
right_pinky_mean_x,0.05468624136853947,E1
left_heel_mean_y,0.05224939082406687,E1
nose_var_x,0.05003425076338712,E1
left_eye_outer_var_x,0.04974187606404279,E1
left_side_max_acceleration,0.048919077110270874,E1
left_eye_var_x,0.04706730527180383,E1
right_foot_index_mean_y,0.04688247250979524,E1
mouth_right_var_x,0.04626042370011688,E1
left_eye_inner_var_x,0.046206678506211574,E1
left_shoulder_mean_x,0.04464156878411596,E1
left_ankle_var_y,0.04355015443794248,E1
acceleration_mean_asymmetry_ratio,0.043464355834188506,E1
left_shoulder_var_x,0.0423791809706595,E1
velocity_std_asymmetry_ratio,0.041073071915042544,E1
left_ear_mean_x,0.040232345104342884,E1
left_heel_var_x,0.03914003969961834,E1
right_side_mean_velocity,0.037717881169103046,E1
left_knee_mean_y,0.03669819428804131,E1
right_eye_var_x,0.0366084771086631,E1
right_eye_outer_var_x,0.036576821484371,E1
right_foot_index_var_y,0.03569922943100602,E1
right_eye_inner_var_x,0.03524338219047299,E1
right_hip_var_x,0.03486731876361558,E1
left_index_var_y,0.03321383798682148,E1
left_foot_index_mean_x,0.032810638447305404,E1
left_hip_var_x,0.0323780510477641,E1
left_thumb_var_y,0.03189976624230009,E1
left_hip_var_y,0.031173012148380558,E1
right_ear_var_y,0.031129694654007792,E1
left_wrist_var_y,0.030974144001094828,E1
left_pinky_var_y,0.03052606517924289,E1
right_hip_var_y,0.030066239006489442,E1
acceleration_std_asymmetry_ratio,0.029976375327192432,E1
right_side_std_acceleration,0.029805283433046607,E1
right_elbow_mean_y,0.02861702003665689,E1
left_elbow_var_y,0.027898682206064368,E1
right_ear_var_x,0.027677289417967814,E1
left_ear_var_x,0.0276768899538441,E1
left_elbow_mean_y,0.027233679385078174,E1
acceleration_max_asymmetry_ratio,0.027017959565897018,E1
left_knee_var_x,0.025283669446957223,E1
left_elbow_mean_x,0.023805971091241294,E1
right_ear_mean_x,0.021773203023146975,E1
right_ear_mean_y,0.02037114164771217,E1
left_eye_inner_mean_x,0.01969665050004353,E1
left_eye_mean_x,0.019416158938305866,E1
left_eye_outer_mean_x,0.018861443023503996,E1
left_wrist_mean_y,0.018340092333823596,E1
left_thumb_mean_y,0.01794602457336078,E1
left_index_mean_y,0.01700616031159466,E1
left_ankle_var_x,0.016534751832111574,E1
left_pinky_mean_y,0.0163508533609054,E1
right_eye_outer_mean_x,0.016016469727081456,E1
nose_mean_x,0.01587452796615703,E1
left_shoulder_var_y,0.01563092537833724,E1
right_ankle_var_y,0.015453924755347834,E1
right_foot_index_mean_x,0.014802646556035165,E1
right_shoulder_mean_x,0.014265839641976205,E1
right_eye_mean_x,0.014064466997706804,E1
mouth_left_mean_x,0.013695700247757195,E1
right_eye_inner_mean_x,0.012603320643896479,E1
right_wrist_var_x,0.012200910891711915,E1
right_ankle_mean_y,0.011777716193332594,E1
mouth_left_var_y,0.011387127012727427,E1
right_side_std_velocity,0.011299409311754056,E1
right_thumb_var_x,0.010715251663086706,E1
left_ear_mean_y,0.010657753586721531,E1
mouth_right_mean_x,0.010550305091592257,E1
velocity_mean_asymmetry_ratio,0.010088538619246246,E1
right_pinky_var_x,0.009483693661340845,E1
right_index_var_y,0.009406096238697433,E1
right_thumb_var_y,0.009400376492208977,E1
right_pinky_var_y,0.009397015444338075,E1
right_foot_index_var_x,0.00939581946551447,E1
right_wrist_var_y,0.009317054575274826,E1
left_eye_outer_var_y,0.009177836597646302,E1
left_elbow_var_x,0.009033290384559581,E1
right_shoulder_var_x,0.008873381133172476,E1
right_eye_inner_var_y,0.00739408705332921,E1
left_eye_var_y,0.007176301094232951,E1
right_index_var_x,0.006938230598913513,E1
right_side_max_acceleration,0.006842908697509295,E1
nose_mean_y,0.006633073850034171,E1
right_shoulder_var_y,0.006463786576474426,E1
right_eye_outer_mean_y,0.006438241141942122,E1
right_eye_mean_y,0.006286111202265382,E1
right_side_max_velocity,0.006205600893153321,E1
left_foot_index_var_y,0.006180016689835588,E1
right_eye_var_y,0.006129707437467491,E1
right_eye_inner_mean_y,0.005750499919370364,E1
right_knee_var_y,0.005647937894204735,E1
mouth_right_var_y,0.0052921268740383776,E1
right_wrist_mean_y,0.004757902539693881,E1
left_eye_inner_mean_y,0.0044218486165472776,E1
mouth_right_mean_y,0.004349777834491836,E1
right_heel_mean_y,0.004331000111797434,E1
right_heel_var_y,0.004163362180373123,E1
right_eye_outer_var_y,0.004161017969068398,E1
left_eye_inner_var_y,0.004126637654501011,E1
right_elbow_var_y,0.00370939349941965,E1
right_elbow_var_x,0.003625926581097942,E1
left_shoulder_mean_y,0.0030262646579690827,E1
left_eye_mean_y,0.0026092264082090283,E1
right_pinky_mean_y,0.001935906745223509,E1
right_thumb_mean_y,0.0016176341558555712,E1
right_index_mean_y,0.001438342719615085,E1
nose_var_y,0.0014369764450389705,E1
mouth_left_mean_y,0.0011180670491080236,E1
left_foot_index_mean_y,0.0010151300840465366,E1
left_eye_outer_mean_y,0.0005531992698740718,E1
exercise_E1,0.0,E1
exercise_E2,0.0,E1
exercise_E3,0.0,E1
exercise_E4,0.0,E1
exercise_E5,0.0,E1
right_shoulder_mean_y,0.17474519164026053,E2
